iter	Passed	Remaining
710	8843	22251
711	8868	22271
712	8886	22273
713	8914	22298
714	8941	22322
715	8956	22315
716	8967	22300
717	8982	22294
718	9008	22313
719	9020	22300
720	9047	22323
721	9059	22309
722	9071	22295
723	9083	22281
724	9100	22280
725	9115	22273
726	9128	22262
727	9145	22260
728	9160	22253
729	9173	22243
730	9180	22216
731	9193	22204
732	9215	22214
733	9233	22214
734	9258	22232
735	9271	22221
736	9297	22240
737	9319	22250
738	9337	22250
739	9348	22235
740	9363	22226
741	9384	22235
742	9412	22257
743	9438	22277
744	9447	22255
745	9459	22241
746	9466	22214
747	9477	22199
748	9486	22177
749	9511	22193
750	9520	22172
751	9549	22198
752	9555	22169
753	9570	22161
754	9595	22178
755	9607	22164
756	9616	22142
757	9627	22126
758	9639	22111
759	9664	22126
760	9683	22128
761	9712	22151
762	9741	22177
763	9756	22169
764	9774	22169
765	9780	22139
766	9794	22130
767	9803	22108
768	9825	22116
769	9837	22101
770	9861	22114
771	9886	22128
772	9899	22115
773	9921	22124
774	9938	22121
775	9965	22139
776	9980	22131
777	10010	22156
778	10032	22163
779	10041	22141
780	10066	22157
781	10076	22138
782	10091	22128
783	10131	22175
784	10159	22196
785	10169	22176
786	10178	22154
787	10195	22149
788	10223	22170
789	10239	22163
790	10269	22188
791	10301	22215
792	10333	22244
793	10363	22267
794	10388	22279
795	10404	22273
796	10436	22300
797	10465	22321
798	10494	22342
799	10507	22329
800	10517	22309
801	10546	22329
802	10568	22334
803	10600	22361
804	10629	22380
805	10638	22360
806	10661	22366
807	10698	22402
808	10738	22445
809	10758	22447
810	10793	22478
811	10812	22477
812	10841	22496
813	10860	22493
814	10885	22505
815	10917	22530
816	10936	22528
817	10948	22512
818	10961	22498
819	10970	22475
820	11002	22500
821	11039	22535
822	11069	22555
823	11101	22580
824	11135	22608
825	11153	22603
826	11170	22597
827	11188	22593
828	11214	22603
829	11238	22612
830	11265	22625
831	11275	22604
832	11296	22607
833	11326	22626
834	11356	22644
835	11375	22641
836	11391	22632
837	11420	22649
838	11453	22674
839	11485	22696
840	11517	22719
841	11548	22739
842	11576	22755
843	11595	22751
844	11623	22765
845	11637	22751
846	11652	22740
847	11678	22751
848	11712	22776
849	11743	22795
850	11770	22807
851	11798	22821
852	11812	22808
853	11841	22823
854	11872	22843
855	11903	22861
856	11935	22882
857	11968	22904
858	12000	22924
859	12016	22915
860	12048	22935
861	12074	22943
862	12100	22953
863	12114	22938
864	12128	22925
865	12146	22918
866	12164	22912
867	12191	22923
868	12203	22905
869	12229	22913
870	12255	22921
871	12280	22927
872	12302	22927
873	12327	22935
874	12355	22945
875	12382	22955
876	12408	22964
877	12435	22973
878	12463	22984
879	12485	22984
880	12513	22996
881	12540	23005
882	12567	23014
883	12593	23020
884	12618	23027
885	12644	23034
886	12672	23044
887	12694	23043
888	12708	23030
889	12736	23040
890	12748	23021
891	12773	23027
892	12800	23034
893	12825	23039
894	12843	23032
895	12871	23042
896	12898	23050
897	12925	23057
898	12951	23064
899	12977	23071
900	13003	23077
901	13017	23061
902	13042	23066
903	13057	23053
904	13083	23058
905	13109	23063
906	13135	23070
907	13163	23079
908	13192	23090
909	13219	23098
910	13249	23110
911	13258	23086
912	13284	23091
913	13299	23078
914	13326	23084
915	13352	23089
916	13378	23094
917	13390	23075
918	13415	23080
919	13433	23071
920	13459	23076
921	13471	23056
922	13498	23063
923	13527	23072
924	13552	23076
925	13567	23062
926	13583	23048
927	13609	23053
928	13637	23061
929	13663	23066
930	13694	23078
931	13712	23069
932	13739	23075
933	13757	23067
934	13785	23073
935	13804	23065
936	13829	23069
937	13856	23074
938	13883	23079
939	13908	23082
940	13934	23085
941	13960	23089
942	13986	23093
943	14012	23096
944	14041	23104
945	14065	23105
946	14090	23107
947	14116	23111
948	14142	23114
949	14169	23119
950	14192	23116
951	14218	23120
952	14246	23125
953	14271	23127
954	14297	23130
955	14323	23133
956	14349	23136
957	14375	23138
958	14397	23134
959	14422	23136
960	14448	23138
961	14475	23143
962	14506	23153
963	14535	23160
964	14563	23165
965	14589	23168
966	14614	23169
967	14642	23173
968	14670	23179
969	14691	23173
970	14718	23176
971	14743	23177
972	14755	23157
973	14780	23156
974	14806	23158
975	14831	23158
976	14857	23161
977	14872	23145
978	14899	23147
979	14927	23152
980	14954	23156
981	14980	23157
982	15006	23158
983	15033	23161
984	15061	23165
985	15088	23167
986	15113	23168
987	15140	23169
988	15170	23177
989	15201	23185
990	15230	23192
991	15257	23193
992	15284	23196
993	15314	23202
994	15341	23204
995	15367	23205
996	15393	23206
997	15420	23208
998	15446	23209
999	15472	23209
1000	15499	23210
1001	15514	23193
1002	15539	23193
1003	15567	23196
1004	15594	23197
1005	15621	23199
1006	15647	23198
1007	15678	23206
1008	15710	23215
1009	15739	23219
1010	15761	23213
1011	15788	23214
1012	15813	23212
1013	15839	23212
1014	15868	23215
1015	15895	23216
1016	15921	23217
1017	15947	23216
1018	15969	23209
1019	15995	23209
1020	16021	23209
1021	16050	23211
1022	16076	23210
1023	16104	23213
1024	16132	23214
1025	16157	23213
1026	16184	23212
1027	16210	23211
1028	16236	23210
1029	16263	23211
1030	16290	23210
1031	16308	23198
1032	16334	23197
1033	16355	23188
1034	16381	23187
1035	16408	23187
1036	16435	23186
1037	16460	23184
1038	16486	23182
1039	16515	23185
1040	16542	23185
1041	16569	23184
1042	16599	23187
1043	16624	23184
1044	16642	23171
1045	16666	23167
1046	16695	23169
1047	16723	23169
1048	16749	23168
1049	16775	23166
1050	16793	23152
1051	16819	23150
1052	16846	23150
1053	16872	23147
1054	16898	23145
1055	16929	23149
1056	16955	23147
1057	16981	23144
1058	17007	23143
1059	17033	23140
1060	17060	23137
1061	17085	23134
1062	17110	23131
1063	17135	23126
1064	17162	23124
1065	17193	23129
1066	17215	23120
1067	17242	23119
1068	17270	23118
1069	17296	23116
1070	17325	23117
1071	17352	23115
1072	17377	23111
1073	17403	23107
1074	17429	23104
1075	17456	23101
